aaron kimall,Aaron Kimball,Wibidata
aaron kimball,Aaron Kimball,Wibidata
aaron newton,Aaron Newton,Cloudera
aaron t myers,Aaron T. Myers,Cloudera
aaron t. myers,Aaron T. Myers,Cloudera
aaron twining myers,Aaron T. Myers,Cloudera
abayer,Andrew Bayer,Cloudera
abdul qadeer,Abdul Qadeer,Usc
abhijit bagri,Abhijit Bagri,Nokia
abhijit suresh shingate,Abhijit Suresh Shingate,Huawei
acmurthy,Arun Murthy,Hortonworks
adam heath,Adam Heath,Brainfood
adam warrington,Adam Warrington,Cloudera
adrian woodhead,Adrian Woodhead,Lastfm
ahad rana,Ahad Rana,Commoncrawl
ahmed,Ahmed Radwan,Cloudera
ahmed radwan,Ahmed Radwan,Cloudera
ajay kidave,Ajay Kidave,SnapLogic
ajaykidave,Ajay Kidave,SnapLogic
al hoang,Al Hoang,University-College-London
al thompson,Al Thompson,Yahoo!
alan gates,Alan Gates,Hortonworks
alan heirich,Alan Heirich,Apple
alejandro abdelnur,Alejandro Abdelnur,Cloudera
aleksandr shulman,Aleksandr Shulman,Cloudera
alex kozlov,Alex Kozlov,Cloudera
alex loddengaard,Alex Loddengaard,Atlassian
alexander alten-lorenz,Alexander Alten-Lorenz,Cloudera
alexey diomin,Alexey Diomin,Agava
amalakar,Arup Malakar,Yahoo!
amar kamat,Amar Kamat,Yahoo!
amareshwari,Amareshwari Sriramadasu,InMobi
amareshwari sriramadasu,Amareshwari Sriramadasu,InMobi
amarrk,Amar Kamat,Yahoo!
amr awadallah,Amr Awadallah,Cloudera
ananya sen,Ananya Sen,Hortonworks
anatoli fomenko,Anatoli Fomenko,Yahoo!
andrew ash,Andrew Ash,Ucb
andrew bayer,Andrew Bayer,Cloudera
andrew hitchcock,Andrew Hitchcock,Google
andrew kyle purtell,Andrew Purtell,Intel
andrew purtell,Andrew Purtell,Intel
andrew ryan,Andrew Ryan,Facebook
andrew wang,Andrew Wang,Cloudera
andrew whang,Andrew Whang,Yahoo!
andrzej bialecki,Andrzej Bialecki ,Lucid
andy isaacson,Andy Isaacson,Cloudera
anirban dasgupta,Anirban Dasgupta,Yahoo!
anirudh todi,Anirudh Todi,UC Berkeley
anthony rojas,Anthony Rojas,Cloudera
anupam seth,Anupam Seth,Yahoo!
appodictic,Edward Capriolo,Media6Degrees
apurtell,Andrew Purtell,Intel
ari rabkin,Ari Rabkin,Cloudera
arpit agarwal,Arpit Agarwal,Hortonworks
arpit gupta,Arpit Gupta,Hortonworks
arun c murthy,Arun Murthy,Hortonworks
arun kumar kandregula,ARUN KUMAR KANDREGULA,Hortonworks
arun murthy,Arun Murthy,Hortonworks
arup malakar,Arup Malakar,Yahoo!
arvind,Arvind Prabhadar,Cloudera
arvind prabhadar,Arvind Prabhadar,Cloudera
arvind prabhakar,Arvind Prabhakar,Cloudera
ashish,Ashish Singh,Hortonworks
ashish singh,Ashish Singh,Hortonworks
ashish thusoo,Ashish Thusoo,Facebook
ashutosh chauhan,Ashutosh Chauhan,Hortonworks
athusoo,Ashish Thusoo,Facebook
atm,Aaron T. Myers,Cloudera
avandana,Vandana Ayyalasomayajula,Yahoo!
balaji rajagopalan,Balaji Rajagopalan,Yahoo!
bc wong,bc Wong,Cloudera
ben reed,Ben Reed,Yahoo!
ben slusky,Ben Slusky,Autonomy
benjamin reed,Benjamin Reed,Yahoo!
benoit sigoure,Benoit Sigoure,Arista Networks
bernd fondermann,Bernd Fondermann,Brainlounge
bharath mundlapudi,Bharath Mundlapudi,Yahoo!
bikas saha,Bikas Saha,Hortonworks
bill de hora,Bill de hOra,Newbay
bill zeller,Bill Zeller,Yahoo!
bilung lee,Bilung Lee,Cloudera
boris shkolnik,Boris Shkolnik,Linkedin
brandon li,Brandon Li,Hortonworks
breed,Benjamin Reed,Yahoo!
brian bockelman,Brian Bockelman,Cern
brice arnould,Brice Arnould,Inria
brock,Brock Noland,Cloudera
brock noland,Brock Noland,Cloudera
bruce mitchner,Bruce Mitchner,Cloudera
brucem,Bruce Mitchner,Cloudera
bruno mah‹Ä‰©,Bruno MahÌÄå©,Cloudera
bryan duxbury,Bryan Duxbury,Square
camille,Camille Fournier,RentTheRunway
camille fournier,Camille Fournier,RentTheRunway
carl steinbach,Carl Steinbach,Citus Data
carlos valiente,Carlos Valiente,Ecmwf
chad metcalf,Chad Metcalf,Cloudera
chandec,Corinne Chandel,Yahoo!
chao wang,Chao Wang,Microsoft
chaow,Chao Wang,Microsoft
cheolsoo,Cheolsoo Park,Cloudera
cheolsoo park,Cheolsoo Park,Cloudera
chris darroch,Chris Darroch,Pearson Education
chris douglas,Chris Douglas,Yahoo!
chris mcconnell,Chris McConnell,Cloudera
chris nauroth,Chris Nauroth,Hortonworks
chris riccomini,Chris Riccomini,Linkedin
chris smith,Chris Smith,Mozy
christian kunz,Christian Kunz,Yahoo!
christophe taton,Christophe Taton,Google
christopher conner,Christopher Conner,Cloudera
christopher douglas,Chris Douglas,Yahoo!
chun zhang,Chun Zhang,Arcsight
chun-yang chen,Chun-Yang Chen,Facebook
clint heath,Clint Heath,Cloudera
clint morgan,Clint Morgan,Scientific Games
cmccabe,Colin Patrick McCabe,Cloudera
colin patrick mccabe,Colin Patrick McCabe,Cloudera
corinne chandel,Corinne Chandel,Yahoo!
corrine chandel,Corrine Chandel,Yahoo!
craig macdonald,Craig Macdonald,U-Of-Glasgow
cristian ivascu,Cristian Ivascu,Adobe
cutting,Doug Cutting,Cloudera
cw chung,CW Chung,Yahoo!
cws,Carl Steinbach,Citus Data
daisuke kobayashi,Daisuke Kobayashi,Cloudera
daniel dai,Danial Dai,Hortonworks
daryn,Daryn Sharp,Yahoo!
daryn sharp,Daryn Sharp,Yahoo!
dave brosius,Dave Brosius,Oracle
david bowen,David Bowen,Yahoo!
david phillips,David Phillips,Connexive
david s. wang,David S. Wang,Cloudera
david simpson,David Simpson,Microsoft
ddas,Devaraj Das,Hortonworks
ddeeter,Derek Deeter,Intuit
delia david,Delia David,Facebook
dennis kubes,Dennis Kubes,Bitly
